"","system","county","AlgI","AlgII","BioI","Chemistry","ELA","EngI","EngII","EngIII","Math","Science","Enrollment","Pct_Black","Pct_Hispanic","Pct_Native_American","Pct_EL","Pct_SWD","Pct_ED","Per_Pupil_Expenditures","Pct_BHN","ACT_Composite","Pct_Chronically_Absent","Pct_Suspended","Pct_Expelled","Graduation","Dropout","CORE_region","mean_math","mean_science","mean_literature"
"1",10,"anderson",76.1,63.3,73.6,41,45.7,73.7,59.2,38.2,54,64.5,6304,2.8,1.1,0.5,0.2,18,58.5,9535.7,4.4,19.9,11.5,5,0.1,94,4.2,"East TN CORE",76.1,73.6,45.7
"2",20,"bedford",64.3,42.4,62.1,32.5,44.1,72.3,63.1,44.6,53.1,61.8,8270,11.2,20.6,0.5,9.4,10.9,69.9,7756.2,32.3,18.4,8.6,2.2,0,90.8,5.4,"South Central CORE",64.3,62.1,44.1
"3",30,"benton",73.7,58.4,77.1,33.1,46,75.4,60.8,45.6,53.9,65,2133,3.9,2.1,0.3,0,18.8,50.2,9714.2,6.3,18.4,6.5,0,0,94.5,3,"Northwest CORE",73.7,77.1,46
"4",40,"bledsoe",64.8,73.9,73,19.5,35.4,63.6,53.3,50,41.1,56.2,1674,1.5,6.8,0.6,2.3,19.7,83.5,9495.9,8.9,19.2,9.1,2.4,0.1,92.4,6.9,"Upper Cumberland CORE",64.8,73,35.4
"5",50,"blount",73.2,59.8,65.1,45.4,46.3,71.8,66,45.3,50.5,68.4,10500,3,4.2,0.4,1.9,12.8,54.2,8866.9,7.6,19.7,17,4.7,0.1,89.1,9.2,"East TN CORE",73.2,65.1,46.3
"6",60,"bradley",0,59.5,64.1,55.7,52.4,74.4,66.3,38.2,57.1,65.9,9801,3.6,4.3,0.3,1.6,11.3,55.1,8429.3,8.2,18.8,16,3.9,0.1,93.1,5.6,"Southeast CORE",0,64.1,52.4
"7",70,"campbell",71.6,22,48.9,16.1,36.7,60.5,51.1,39.8,45,51.2,5387,0.4,1.2,0.2,0.6,13.5,70.7,8290.1,1.8,17.2,18.1,4.6,0,87.6,3.1,"East TN CORE",71.6,48.9,36.7
"8",80,"cannon",0,52.5,66.9,26,45.1,65.7,61.2,23.8,49.8,62.9,1944,1.7,2.3,0.3,0.5,16.2,55.3,8401.6,4.3,18.6,14.5,1.7,0,95.1,2.1,"Upper Cumberland CORE",0,66.9,45.1
"9",100,"carter",0,0,70.3,23.5,40.4,69,68.9,43.1,46.8,64.1,5162,1.5,1.9,0.6,0.5,17,76.6,9133.9,4,18.3,16.9,3.1,0,88.6,8,"First TN CORE",0,70.3,40.4
"10",110,"cheatham",0,0,73.3,53.1,46.4,75.5,57.7,47.9,55.7,66.4,6240,2.6,3.6,0.4,1.1,15.3,49.1,8412.6,6.6,20.8,13.4,5.8,0.1,91.2,5.9,"Mid Cumberland CORE",0,73.3,46.4
"11",120,"chester",73.6,63.3,76.8,55.6,53.7,72.9,73.1,54.1,66.5,78,2774,13.8,3,0.5,0.1,10,40,7681.2,17.3,19.7,12.6,0,0,88.4,6.6,"Southwest/Memphis CORE",73.6,76.8,53.7
"12",130,"claiborne",52.1,21.6,53.4,24.3,42.7,70.2,59.5,38.1,52.4,56.7,4313,1.8,1.2,0.3,0.2,13.8,77,9283.4,3.3,17.7,20.2,4.6,0,95.3,2.5,"East TN CORE",52.1,53.4,42.7
"13",140,"clay",68,81.4,65.8,31.8,33.5,60,57.9,35.9,40,54,1024,1.8,2.1,0.3,0.3,16.2,70.7,9237.5,4.2,18.4,9.8,0.5,0,96.8,1.6,"Upper Cumberland CORE",68,65.8,33.5
"14",150,"cocke",60.2,33.5,59.5,34.1,42.7,62.7,56.6,27,59.1,65.3,4456,3.7,3.2,0.2,0.6,16.1,76.2,9246.6,7.1,18.3,14.9,6.1,0.1,93.9,4.3,"First TN CORE",60.2,59.5,42.7
"15",160,"coffee",69.8,76.3,67,31.5,47.6,76.2,64.5,40.5,57.6,66.1,4308,2.7,5.2,0.2,1.3,13.9,57.4,9068.1,8.1,20,16.5,1.7,0,88.9,6.4,"South Central CORE",69.8,67,47.6
"16",170,"crockett",78,63.5,77.9,43.7,48.8,71.6,65.5,50,57.2,67.3,1932,13.7,14.4,0.1,0.4,11.6,62.4,8093.5,28.2,19.1,4.2,0,0.1,95.9,3.1,"Northwest CORE",78,77.9,48.8
