"","county","year","sum_total_income_amount","sum_total_income_returns","mean_total_income_amount","income_per_tax_return"
"1","anderson",2011,172834,21043,28805.6666666667,8.21337261797272
"2","anderson",2012,175813,21220,29302.1666666667,8.28524976437323
"3","anderson",2013,175779,21070,29296.5,8.34261983863313
"4","anderson",2014,184059,21550,30676.5,8.54102088167053
"5","anderson",2015,193700,21850,32283.3333333333,8.8649885583524
"6","bedford",2011,55576,10425,13894,5.33103117505995
"7","bedford",2012,61246,10620,15311.5,5.76704331450094
"8","bedford",2013,64294,11250,16073.5,5.71502222222222
"9","bedford",2014,73582,11710,18395.5,6.28368915456874
"10","bedford",2015,82748,12090,20687,6.84433416046319
"11","benton",2011,21313,4077,5328.25,5.22761834682365
"12","benton",2012,22475,4050,5618.75,5.54938271604938
"13","benton",2013,21934,4110,5483.5,5.3367396593674
"14","benton",2014,23060,4030,5765,5.72208436724566
"15","benton",2015,23923,4190,5980.75,5.70954653937947
"16","bledsoe",2011,8415,1950,8415,4.31538461538462
"17","bledsoe",2012,9128,1960,9128,4.65714285714286
"18","bledsoe",2013,9639,1920,9639,5.0203125
"19","bledsoe",2014,9519,2020,9519,4.71237623762376
"20","bledsoe",2015,10454,2100,10454,4.97809523809524
"21","blount",2011,258071,34883,25807.1,7.3981882292234
"22","blount",2012,288780,35410,28878,8.15532335498447
"23","blount",2013,291469,35790,29146.9,8.14386700195585
"24","blount",2014,317983,36730,31798.3,8.65731010073509
"25","blount",2015,348027,38060,34802.7,9.14416710457173
"26","bradley",2011,178458,26388,29743,6.76284674852206
"27","bradley",2012,192796,27260,32132.6666666667,7.07248716067498
"28","bradley",2013,194908,27450,32484.6666666667,7.10047358834244
"29","bradley",2014,212228,28310,35371.3333333333,7.49657364888732
"30","bradley",2015,220107,29170,36684.5,7.54566335275968
"31","campbell",2011,42672,8123,7112,5.25323156469285
"32","campbell",2012,47192,8130,7865.33333333333,5.80467404674047
"33","campbell",2013,48373,8100,8062.16666666667,5.97197530864198
"34","campbell",2014,47373,8120,7895.5,5.83411330049261
"35","campbell",2015,51215,8380,8535.83333333333,6.11157517899761
"36","cannon",2011,18307,3803,4576.75,4.81383118590586
"37","cannon",2012,19741,3930,4935.25,5.02315521628499
"38","cannon",2013,20418,3970,5104.5,5.14307304785894
"39","cannon",2014,22493,4130,5623.25,5.44624697336562
"40","cannon",2015,26167,4210,6541.75,6.21543942992874
"41","carroll",2011,36120,7686,3283.63636363636,4.69945355191257
"42","carroll",2012,39492,7720,3590.18181818182,5.11554404145078
"43","carroll",2013,39771,7560,3615.54545454545,5.26071428571429
"44","carroll",2014,40837,7860,3712.45454545455,5.19554707379135
"45","carroll",2015,42047,7840,3822.45454545455,5.36313775510204
"46","carter",2011,49065,10531,12266.25,4.65910169974361
"47","carter",2012,50613,10570,12653.25,4.7883632923368
"48","carter",2013,50603,10490,12650.75,4.82392755004766
"49","carter",2014,58987,10520,14746.75,5.60712927756654
"50","carter",2015,56553,10820,14138.25,5.22670979667283
"51","cheatham",2011,75564,11924,15112.8,6.33713518953371
"52","cheatham",2012,81561,12270,16312.2,6.64718826405868
"53","cheatham",2013,87460,12560,17492,6.96337579617834
"54","cheatham",2014,95146,12820,19029.2,7.4216848673947
"55","cheatham",2015,108375,13240,21675,8.18542296072508
