"","zip","gross_income","num_dependents","adj_gross_income","total_income_returns","total_income_amount","agi_salaries_wages_returns","agi_salaries_wages_amount","farm_returns","unemployment_compensation_returns","unemployment_compensation_amount","state_local_income_tax_returns","state_local_income_tax_amount","state_local_general_sales_returns","state_local_general_sales_amount","real_estate_returns","real_estate_amount","taxes_paid_returns","taxes_paid_amount","taxable_income_returns","taxable_income_amount","child_tax_credit_returns","child_tax_credit_amount","total_tax_payments_returns","total_tax_payments_amount","tax_due_at_filing_returns","tax_due_at_filing_amount","overpayments_refunded_returns","overpayments_refunded_amount"
"1",0,"Total",1941870,161127695,2888970,163589515,2438730,114963839,61490,100970,310208,45960,396693,465700,1110156,507290,1380013,572970,3000359,2147830,110003706,460300,541176,2769780,26397524,486440,2451659,2298680,6568600
"2",0,"$1 under $25,000",656530,15151689,1201870,15431923,960540,11875448,13290,43120,124945,1920,1690,36610,37783,33710,59972,45560,107385,491510,2840996,42230,13210,1111390,2822581,99060,82653,1044200,2385839
"3",0,"$25,000 under $50,000",526370,26214765,729290,26525086,641440,21744699,13280,28660,87075,5780,9784,84640,120599,84710,142597,106200,288656,700610,13213244,175590,156893,713190,3135749,97640,157628,622270,1730466
"4",0,"$50,000 under $75,000",266830,23278618,379130,23553989,331500,18224480,11470,14340,45630,6680,16408,88120,157673,94950,176487,108840,365031,377670,15075204,110520,170124,373220,2637697,84570,199633,287540,810815
"5",0,"$75,000 under $100,000",177370,19779900,228510,20008958,200020,15027783,8610,7600,25554,5970,19240,72370,160271,80940,172284,88040,364155,228130,14087266,73520,122145,225760,2376428,59170,186812,163510,535783
"6",0,"$100,000 under $200,000",231300,35879180,267110,36407756,235040,26189563,11120,6480,23823,13690,68161,130060,379487,147780,415947,156030,888298,266900,28032749,58440,78804,264170,5189441,102320,550707,153480,618528
"7",0,"$200,000 or more",83470,40823543,83060,41661803,70190,21901866,3720,770,3181,11920,281410,53900,254343,65200,412726,68300,986834,83010,36754247,0,0,82050,10235628,43680,1274226,27680,487169
"8",37010,"Total",1740,151317,2300,154297,2010,108031,140,60,178,80,300,500,1271,590,1334,640,3071,1820,105986,480,638,2190,23171,480,2560,1750,4701
"9",37010,"$1 under $25,000",320,9074,790,9229,670,7332,0,0,0,0,0,20,19,20,35,30,57,330,1640,0,0,720,1206,70,49,690,972
"10",37010,"$25,000 under $50,000",320,16276,440,16588,390,13328,50,40,110,0,0,60,90,60,106,80,210,420,7981,130,110,430,2018,80,162,360,1135
