"","zip","num_dependents","adj_gross_income","total_income_returns","total_income_amount","taxes_paid_returns","taxes_paid_amount"
"1",0,1941870,161127695,2888970,163589515,572970,3000359
"2",37010,1740,151317,2300,154297,640,3071
"3",37012,580,38676,920,39064,110,277
"4",37013,32430,1613922,41590,1633573,7710,24523
"5",37014,560,94017,890,95889,340,2205
"6",37015,5520,380946,8090,385801,1210,4707
"7",37016,220,18762,360,18957,60,201
"8",37018,550,40901,810,41426,120,579
"9",37019,260,16592,430,16683,20,44
"10",37020,1580,111152,2140,113089,390,1480
"11",37022,1600,103776,2430,104963,310,992
"12",37023,530,28389,710,28714,80,245
"13",37025,1790,111048,2620,112418,340,1117
"14",37026,680,38905,900,39338,110,296
"15",37027,19410,4261819,25830,4353314,13290,108877
"16",37028,150,10967,260,11153,30,159
"17",37029,1600,166643,2540,169122,640,2754
"18",37030,1900,127020,2880,128920,330,1453
"19",37031,1110,94813,1790,96021,360,1243
"20",37032,1490,99420,2040,100833,380,1582
"21",37033,2010,122729,2920,124267,330,1260
"22",37034,2150,145421,2980,147176,500,1746
"23",37035,1060,78396,1570,79388,230,872
"24",37036,1620,113872,2440,115258,340,1234
"25",37037,2400,178417,3260,180645,730,2956
"26",37040,15820,906084,21590,918261,3190,12504
"27",37042,25600,1146971,31460,1158950,3580,12435
"28",37043,13330,1260929,20290,1283776,5210,26209
"29",37046,1140,189404,1800,193360,570,3710
"30",37047,670,53034,1090,53683,130,444
"31",37048,1700,153134,2660,155745,660,2685
"32",37049,1030,76123,1610,77102,330,1271
"33",37050,450,29386,690,29647,100,353
"34",37051,1020,63289,1480,64113,190,668
"35",37052,710,53724,1140,54444,170,681
"36",37055,8190,530269,11990,537752,1740,6485
"37",37057,230,13165,320,13441,20,73
"38",37058,1700,129063,2790,130609,410,1554
"39",37059,420,24280,660,24562,50,110
"40",37060,740,62677,1130,63612,250,948
"41",37061,1330,79444,1970,80390,230,759
"42",37062,3550,277155,4980,281456,1120,4390
"43",37064,17730,2428808,24450,2491650,9670,64105
"44",37066,14830,1473035,22000,1497233,5210,29395
"45",37067,8270,1494075,12630,1525208,5370,35016
"46",37069,7000,1348891,8990,1378894,4280,30190
"47",37072,8620,808883,14670,821151,3350,14384
"48",37073,4190,321228,6260,325760,1320,5220
"49",37074,2010,120770,3010,122370,310,1062
"50",37075,19680,2052495,30130,2089436,9090,43939
"51",37076,9560,980888,19590,994926,4110,15772
"52",37078,160,13903,290,14032,40,135
"53",37079,670,42929,1050,43275,120,381
"54",37080,1840,183993,3530,186485,710,3090
"55",37082,1720,187563,3000,191288,750,3204
"56",37083,4310,224547,5770,227773,450,1442
"57",37085,1330,131408,1900,133401,520,2433
"58",37086,13450,640685,15850,647059,2660,7991
"59",37087,13260,1117578,19710,1135940,4210,18566
"60",37090,4100,389944,6990,395483,1510,6216
"61",37091,6190,391337,9290,395629,980,3803
"62",37095,440,30269,780,30573,70,198
"63",37096,1490,89407,2200,90318,240,738
"64",37097,500,31625,790,31957,100,288
"65",37098,1620,81145,2180,82100,210,589
"66",37101,1770,125631,2600,127088,340,1172
"67",37110,9410,504377,12710,513309,1140,4035
"68",37115,13810,620654,18310,627746,2380,7326
"69",37118,400,39322,580,39711,150,762
"70",37122,16320,1813406,24920,1840891,7940,34401
"71",37127,5230,456851,8050,463155,1910,7967
"72",37128,16000,1347717,22790,1365300,6230,25234
"73",37129,15560,1439145,23860,1458611,5690,25023
"74",37130,14980,1124418,24900,1142247,3940,18946
"75",37134,850,68001,1340,68549,200,603
"76",37135,5120,529611,5580,538701,2730,13678
"77",37137,710,36874,1040,37259,90,239
"78",37138,6290,683628,11290,695406,2890,12880
"79",37141,420,25839,560,26258,100,325
"80",37142,520,33612,730,34044,110,421
"81",37143,1120,101452,1880,103326,390,1513
"82",37144,830,60499,1320,61133,120,479
"83",37145,600,39354,900,39855,80,220
"84",37146,2330,198777,3340,201834,870,3475
"85",37148,7240,465330,10230,470887,1550,5620
"86",37149,650,51895,1060,52631,170,647
"87",37150,1540,61276,1820,62335,120,348
"88",37151,140,11272,250,11357,30,81
"89",37153,1770,144391,2520,146350,610,2290
"90",37160,12610,611419,14450,618992,1610,6369
"91",37166,4450,218717,5460,222154,510,1884
"92",37167,18630,1334816,25660,1349176,4920,18070
"93",37171,280,17443,420,17646,50,168
"94",37172,12310,639789,14070,648198,2300,8988
"95",37174,12570,999312,15010,1013823,5000,20575
"96",37175,220,14049,370,14171,50,147
"97",37178,620,38710,910,39062,110,409
"98",37179,4490,439952,5530,447151,2030,9616
"99",37180,1050,56682,1350,57245,160,467
"100",37181,410,23752,590,24094,70,220
"101",37183,870,69679,1360,70966,200,770
"102",37184,1670,116849,2510,118565,380,1376
"103",37185,2190,165321,3550,167745,490,1820
"104",37186,2860,139439,3790,141089,370,1145
"105",37187,2070,138311,3100,139928,460,1532
"106",37188,4870,356054,6750,360558,1690,6593
"107",37189,1100,87506,1790,88515,450,1850
"108",37190,2140,155923,3690,157926,470,1560
"109",37191,1180,88974,1800,90054,310,1102
"110",37201,70,90653,790,92391,250,1795
"111",37203,2500,1192883,8050,1215159,1660,41882
"112",37204,2610,736879,6990,755687,2490,21539
"113",37205,5420,2774360,12870,2829740,6180,78033
"114",37206,6570,687015,13810,700894,2890,13474
"115",37207,14130,566963,18390,572420,2410,7223
"116",37208,4990,266327,7810,270459,880,3472
"117",37209,8870,827760,17680,843329,3040,14075
"118",37210,5010,216325,7070,220073,630,2086
"119",37211,25680,1609276,37830,1635872,6490,25054
"120",37212,2140,793515,7380,815215,2180,21658
"121",37214,7230,783824,16780,795071,3300,11679
"122",37215,5010,2482129,12060,2539006,6040,71964
"123",37216,4290,422523,9670,429942,1940,7460
"124",37217,12100,546027,16390,552778,1930,5934
"125",37218,4400,256071,6990,258711,1410,4971
"126",37219,160,105969,1010,108682,290,2140
"127",37220,1750,514825,3270,527612,1670,15923
"128",37221,10200,1487586,19950,1517041,6630,32698
"129",37228,340,25970,650,26315,80,635
"130",37301,500,20452,610,20747,50,128
"131",37302,1220,140168,1740,142126,560,3463
"132",37303,6730,449817,10160,456066,1300,4605
"133",37305,180,7813,280,7894,0,0
"134",37306,730,50943,1130,51616,120,421
"135",37307,1320,84648,2060,85332,270,957
"136",37308,790,53400,1170,53839,200,747
"137",37309,580,36116,850,36423,100,306
"138",37310,1280,112558,1950,114096,370,1574
"139",37311,9310,408677,11020,414270,1180,5184
"140",37312,9910,838593,14690,850841,3300,14704
"141",37313,340,18453,470,18682,40,120
"142",37317,550,35712,930,36087,130,536
"143",37318,480,28729,820,29009,60,175
"144",37321,5880,339107,7710,343031,880,3238
"145",37322,2170,141905,3300,143336,360,1162
"146",37323,9000,538979,12940,544827,1860,6005
"147",37324,1380,86763,2210,87837,160,550
"148",37325,420,31776,720,32053,100,334
"149",37327,3500,204170,4670,206912,630,2454
"150",37328,450,24605,570,25059,70,213
"151",37329,1520,97315,2190,98376,260,804
"152",37330,1750,148037,3090,149885,390,1789
"153",37331,1950,130175,3140,131381,350,1077
"154",37332,760,46371,1090,46698,120,429
"155",37333,140,5357,170,5378,0,0
"156",37334,6390,461501,9740,468403,1400,5582
"157",37335,720,45843,1070,46355,130,463
"158",37336,1130,99173,1850,100488,400,1738
"159",37337,340,19134,530,19338,60,129
"160",37338,910,47980,1280,48327,130,388
"161",37339,530,22274,680,22461,30,62
"162",37340,170,9862,260,9931,0,0
"163",37341,3440,333242,5860,337511,1360,5923
"164",37342,1020,67237,1520,68173,180,634
"165",37343,11610,1174090,19410,1190925,4780,23489
"166",37345,780,38510,940,39013,80,278
"167",37347,2250,158794,3480,160633,480,1732
"168",37348,340,19942,460,20076,50,187
"169",37350,580,288348,970,292851,590,8027
"170",37351,80,4955,190,4997,0,0
"171",37352,850,76057,1400,77116,190,824
"172",37353,1530,123793,2200,126005,490,2316
"173",37354,4550,269624,6780,273106,770,2653
"174",37355,7660,506005,11100,512741,1360,5625
"175",37356,650,56312,1090,57220,170,856
"176",37357,1690,102621,2290,104238,220,734
"177",37359,190,15899,300,16075,30,117
"178",37360,380,39822,690,40396,100,536
"179",37361,440,31202,700,31578,70,338
"180",37362,950,53624,1410,54117,160,512
"181",37363,10280,1219966,15460,1240206,5230,28827
"182",37365,430,19248,540,19477,30,64
"183",37366,250,16092,390,16213,30,68
"184",37367,2350,129701,3410,131702,380,1170
"185",37369,170,13999,360,14034,20,78
"186",37370,1240,88317,1970,89394,290,872
"187",37373,830,61417,1280,61913,220,843
"188",37374,470,23490,630,23756,80,251
"189",37375,580,79412,1100,80629,270,1440
"190",37376,100,6764,180,6793,0,0
"191",37377,5110,859103,7130,878379,2980,23322
"192",37379,7310,700060,11630,708869,2620,13071
"193",37380,1850,120338,2710,121735,400,1525
"194",37381,2140,173347,3550,174723,560,2213
"195",37385,2020,113233,2950,114385,300,931
"196",37387,1170,53481,1600,54115,110,265
"197",37388,7030,562539,11190,570692,1790,9134
"198",37391,330,22339,520,22546,70,314
"199",37396,120,4811,160,4833,0,0
"200",37397,2630,156929,3750,158431,450,1458
"201",37398,3860,324595,6470,329923,940,4424
"202",37402,680,173889,1230,176373,170,2828
"203",37403,380,81747,1250,83656,240,1975
"204",37404,5440,226161,5920,230121,640,4071
"205",37405,3200,680195,8070,695960,2140,17994
"206",37406,4420,155528,5620,156571,530,1735
"207",37407,4600,77346,3530,77906,60,158
"208",37408,510,61259,880,62637,210,1177
"209",37409,870,65024,1570,66156,240,961
"210",37410,1430,28190,1470,28354,50,121
"211",37411,5720,308283,8630,312130,1220,4422
"212",37412,6580,422625,10920,427425,1520,5268
"213",37415,5480,712693,11630,723741,2230,13543
"214",37416,4200,341900,7290,346291,1310,6159
"215",37419,1550,228018,2950,232139,810,5835
"216",37421,13430,1436947,23330,1460064,5990,32252
"217",37601,9120,667926,15250,678502,2200,10028
"218",37604,7530,808322,15110,822054,2680,13081
"219",37615,5250,613975,9450,624335,2230,11201
"220",37616,1230,87858,2110,88952,260,911
"221",37617,3390,323680,6230,327958,1080,4668
"222",37618,3130,243678,5550,246369,790,3096
"223",37620,9180,743044,16420,753639,2290,11916
"224",37640,710,53096,1300,53573,190,744
"225",37641,2110,139761,3550,141179,430,1495
"226",37642,3690,264817,6310,267140,750,2893
"227",37643,7860,533641,12950,539527,1330,5278
"228",37645,1390,112498,2380,113424,350,1260
"229",37650,2840,199701,4970,201673,520,1955
"230",37656,820,71624,1590,72286,220,725
"231",37657,190,13936,330,14019,30,128
"232",37658,980,58760,1670,59190,120,347
"233",37659,6890,667051,12130,676349,2330,10140
"234",37660,9620,813963,16450,823936,2420,14516
"235",37663,3670,415374,6930,421423,1520,6484
"236",37664,7100,735953,12170,744917,2560,13131
"237",37665,1350,65865,2030,66348,130,360
"238",37680,170,7975,250,8008,0,0
"239",37681,1520,107697,2500,108805,320,1070
"240",37683,2640,188024,4140,190770,570,2296
"241",37686,1840,224027,3510,227927,710,4102
"242",37687,1090,59948,1730,60666,180,654
"243",37688,210,19264,380,19410,50,179
"244",37690,1070,73345,1740,74229,240,802
"245",37691,170,14586,320,14750,50,190
"246",37692,1100,88174,1940,89086,280,1063
"247",37694,440,27626,760,27856,60,174
"248",37701,2220,190838,3700,193146,720,3514
"249",37705,1290,111026,2030,112493,390,1831
"250",37708,1780,98761,2610,99637,230,896
"251",37709,1050,71331,1530,72021,240,890
"252",37710,250,12089,370,12137,0,0
"253",37711,1350,69377,1990,69982,170,460
"254",37713,390,19632,570,19714,40,122
"255",37714,1090,75028,1680,75905,160,716
