"","zip","gross_income","num_dependents","adj_gross_income","total_income_returns","total_income_amount","taxes_paid_returns","taxes_paid_amount"
"1",0,"Total",1941870,161127695,2888970,163589515,572970,3000359
"2",0,"$1 under $25,000",656530,15151689,1201870,15431923,45560,107385
"3",0,"$25,000 under $50,000",526370,26214765,729290,26525086,106200,288656
"4",0,"$50,000 under $75,000",266830,23278618,379130,23553989,108840,365031
"5",0,"$75,000 under $100,000",177370,19779900,228510,20008958,88040,364155
"6",0,"$100,000 under $200,000",231300,35879180,267110,36407756,156030,888298
"7",0,"$200,000 or more",83470,40823543,83060,41661803,68300,986834
"8",37010,"Total",1740,151317,2300,154297,640,3071
"9",37010,"$1 under $25,000",320,9074,790,9229,30,57
"10",37010,"$25,000 under $50,000",320,16276,440,16588,80,210
"11",37010,"$50,000 under $75,000",260,19858,320,20123,110,379
"12",37010,"$75,000 under $100,000",260,24055,280,24367,120,535
"13",37010,"$100,000 under $200,000",470,50887,390,51699,230,1214
"14",37010,"$200,000 or more",110,31167,80,32291,70,676
"15",37012,"Total",580,38676,920,39064,110,277
"16",37012,"$1 under $25,000",160,4810,390,4895,0,0
"17",37012,"$25,000 under $50,000",180,9189,250,9343,60,123
"18",37012,"$50,000 under $75,000",110,8321,140,8357,0,0
"19",37012,"$75,000 under $100,000",90,7105,80,7218,20,62
"20",37012,"$100,000 under $200,000",40,9251,60,9251,30,92
"21",37012,"$200,000 or more",0,0,0,0,0,0
"22",37013,"Total",32430,1613922,41590,1633573,7710,24523
"23",37013,"$1 under $25,000",10930,226736,16930,231588,700,1470
"24",37013,"$25,000 under $50,000",12830,511213,14340,517098,2400,5791
"25",37013,"$50,000 under $75,000",4530,325713,5360,329103,2060,6082
"26",37013,"$75,000 under $100,000",2160,226814,2630,228965,1180,4318
"27",37013,"$100,000 under $200,000",1820,270379,2150,273098,1230,5528
"28",37013,"$200,000 or more",160,53067,180,53721,140,1334
"29",37014,"Total",560,94017,890,95889,340,2205
"30",37014,"$1 under $25,000",40,2241,220,2283,0,0
"31",37014,"$25,000 under $50,000",90,6332,170,6430,30,90
"32",37014,"$50,000 under $75,000",70,6807,110,6909,40,134
"33",37014,"$75,000 under $100,000",60,7485,90,7553,40,176
"34",37014,"$100,000 under $200,000",180,24856,180,25334,130,766
"35",37014,"$200,000 or more",120,46296,120,47380,100,1039
"36",37015,"Total",5520,380946,8090,385801,1210,4707
"37",37015,"$1 under $25,000",1500,38946,3040,39759,100,192
"38",37015,"$25,000 under $50,000",1790,85099,2330,85874,260,601
"39",37015,"$50,000 under $75,000",1150,79444,1300,80419,310,911
"40",37015,"$75,000 under $100,000",570,64678,750,65282,210,794
"41",37015,"$100,000 under $200,000",450,75220,580,76036,270,1437
"42",37015,"$200,000 or more",60,37559,90,38431,60,772
"43",37016,"Total",220,18762,360,18957,60,201
"44",37016,"$1 under $25,000",50,1509,120,1521,0,0
"45",37016,"$25,000 under $50,000",60,3706,100,3794,0,0
"46",37016,"$50,000 under $75,000",40,3506,60,3506,40,100
"47",37016,"$75,000 under $100,000",30,3414,40,3509,0,0
"48",37016,"$100,000 under $200,000",40,6627,40,6627,20,101
"49",37016,"$200,000 or more",0,0,0,0,0,0
"50",37018,"Total",550,40901,810,41426,120,579
"51",37018,"$1 under $25,000",210,4427,370,4556,30,62
"52",37018,"$25,000 under $50,000",130,6972,190,7072,0,0
"53",37018,"$50,000 under $75,000",80,7037,110,7176,40,135
"54",37018,"$75,000 under $100,000",60,5303,60,5303,0,0
"55",37018,"$100,000 under $200,000",70,17162,80,17319,50,382
"56",37018,"$200,000 or more",0,0,0,0,0,0
"57",37019,"Total",260,16592,430,16683,20,44
"58",37019,"$1 under $25,000",80,2137,180,2161,20,44
"59",37019,"$25,000 under $50,000",100,5004,140,5043,0,0
"60",37019,"$50,000 under $75,000",40,3874,60,3902,0,0
"61",37019,"$75,000 under $100,000",40,5577,50,5577,0,0
"62",37019,"$100,000 under $200,000",0,0,0,0,0,0
"63",37019,"$200,000 or more",0,0,0,0,0,0
"64",37020,"Total",1580,111152,2140,113089,390,1480
"65",37020,"$1 under $25,000",290,8899,740,9153,30,51
"66",37020,"$25,000 under $50,000",420,20977,570,21251,90,194
"67",37020,"$50,000 under $75,000",370,22431,370,22763,80,200
"68",37020,"$75,000 under $100,000",260,19961,230,20208,70,242
"69",37020,"$100,000 under $200,000",210,24754,190,25584,90,470
"70",37020,"$200,000 or more",30,14130,40,14130,30,323
"71",37022,"Total",1600,103776,2430,104963,310,992
"72",37022,"$1 under $25,000",540,12825,1020,13061,30,63
"73",37022,"$25,000 under $50,000",450,24269,670,24529,80,155
"74",37022,"$50,000 under $75,000",300,23644,380,23911,70,178
"75",37022,"$75,000 under $100,000",140,15586,180,15680,50,158
"76",37022,"$100,000 under $200,000",170,18967,150,19297,80,438
"77",37022,"$200,000 or more",0,8485,30,8485,0,0
"78",37023,"Total",530,28389,710,28714,80,245
"79",37023,"$1 under $25,000",190,3655,300,3731,20,41
"80",37023,"$25,000 under $50,000",160,7301,200,7409,0,0
"81",37023,"$50,000 under $75,000",90,6000,100,6061,30,69
"82",37023,"$75,000 under $100,000",50,5362,60,5442,30,135
"83",37023,"$100,000 under $200,000",40,6071,50,6071,0,0
"84",37023,"$200,000 or more",0,0,0,0,0,0
"85",37025,"Total",1790,111048,2620,112418,340,1117
"86",37025,"$1 under $25,000",570,13586,1080,13865,30,68
