"","county","total_population"
"1","Shelby County",874585
"2","Davidson County",615632
"3","Knox County",387397
"4","Hamilton County",314435
"5","Rutherford County",262628
"6","Williamson County",233495
"7","Montgomery County",169464
"8","Sumner County",149190
"9","Sullivan County",136490
"10","Washington County",113112
"11","Wilson County",112290
"12","Blount County",106944
"13","Bradley County",95670
"14","Sevier County",90103
"15","Madison County",83760
"16","Putnam County",70455
"17","Robertson County",66993
"18","Maury County",66162
"19","Anderson County",64931
"20","Hamblen County",60994
"21","Greene County",54717
"22","Tipton County",53561
"23","Loudon County",52510
"24","Coffee County",52398
"25","Gibson County",47988
"26","Cumberland County",46689
"27","Dickson County",46039
"28","Jefferson County",45280
"29","Roane County",45070
"30","Hawkins County",44590
"31","Bedford County",42645
"32","McMinn County",40950
"33","Monroe County",37590
"34","Warren County",36558
"35","Cheatham County",36380
"36","Lawrence County",35920
"37","Carter County",35497
"38","Fayette County",33315
"39","Dyer County",32297
"40","Franklin County",31878
"41","Lincoln County",30420
"42","Rhea County",29760
"43","Cocke County",29578
"44","Marshall County",27840
"45","Campbell County",27710
"46","Obion County",26466
"47","Henry County",26462
"48","Claiborne County",26209
"49","Carroll County",25734
"50","Giles County",23948
"51","Weakley County",23837
"52","Henderson County",23440
"53","McNairy County",23090
"54","White County",22670
"55","Marion County",22570
"56","Lauderdale County",21040
"57","Hardeman County",20520
"58","Grainger County",19550
"59","Hickman County",19180
"60","Hardin County",19115
"61","Scott County",17927
"62","DeKalb County",16620
"63","Macon County",16380
"64","Humphreys County",15830
"65","Smith County",15500
"66","Overton County",15194
"67","Polk County",14833
"68","Haywood County",14720
"69","Unicoi County",14320
"70","Benton County",13050
"71","Johnson County",13050
"72","Crockett County",12935
"73","Fentress County",12790
"74","Union County",12330
"75","Cannon County",12050
"76","Morgan County",11954
"77","Grundy County",11940
"78","Wayne County",11900
"79","Chester County",11860
"80","Stewart County",11360
"81","Sequatchie County",10060
"82","Meigs County",9750
"83","Decatur County",8300
"84","Lewis County",8280
"85","Bledsoe County",7280
"86","Jackson County",6860
"87","Houston County",6750
"88","Perry County",6210
"89","Trousdale County",6070
"90","Lake County",4515
"91","Clay County",4180
"92","Pickett County",4020
"93","Hancock County",4010
"94","Van Buren County",3180
"95","Moore County",2840
"96","Mcminn County",1239
