"","county","sum_total_population","sum_total_income_returns","sum_total_income_amount","income_per_tax_return","sum_num_dependents","sum_adj_gross_income","mean_adj_gross_income","mean_total_income_amount","sum_taxes_paid_returns","sum_taxes_paid_amount","income_category"
"1","wilson",449160,54130,3490879,64.4906521337521,35350,3437777,859444.25,872719.75,14040,60559,"Very High Income"
"2","williamson",2568445,106170,12347440,116.298766129792,80150,12090558,1099141.63636364,1122494.54545455,44480,292740,"Very High Income"
"3","white",90680,10930,431851,39.5106129917658,7230,425927,106481.75,107962.75,1150,3931,"Low Income"
"4","weakley",166859,12050,533278,44.2554356846473,7440,525314,75044.8571428571,76182.5714285714,1380,4948,"Medium Income"
"5","wayne",71400,5640,234059,41.4998226950355,3790,231237,38539.5,39009.8333333333,910,3721,"Medium Income"
"6","washington",791784,57770,3056560,52.9091223818591,32200,3009940,429991.428571429,436651.428571429,10220,47047,"High Income"
"7","warren",109674,16690,686564,41.1362492510485,12230,674918,224972.666666667,228854.666666667,1500,5235,"Medium Income"
"8","van",3180,1510,55979,37.0721854304636,1030,55290,55290,55979,140,553,"Low Income"
"9","union",36990,5680,231692,40.7908450704225,4170,229151,76383.6666666667,77230.6666666667,570,2115,"Low Income"
"10","unicoi",42960,7240,304778,42.096408839779,4130,301811,100603.666666667,101592.666666667,830,3146,"Medium Income"
"11","trousdale",6070,3010,122370,40.6544850498339,2010,120770,120770,122370,310,1062,"Low Income"
"12","tipton",374927,25480,1252709,49.1644034536892,19240,1239116,177016.571428571,178958.428571429,5250,18922,"High Income"
"13","sumner",1044330,73030,4555374,62.3767492811173,49020,4482022,640288.857142857,650767.714285714,17550,85019,"Very High Income"
"14","sullivan",1091920,69290,3612517,52.1361956992351,39280,3565584,445698,451564.625,11500,58273,"High Income"
"15","stewart",56800,5500,243398,44.2541818181818,3500,240734,48146.8,48679.6,740,2692,"Medium Income"
"16","smith",155000,7500,333975,44.53,4970,329721,32972.1,33397.5,800,2953,"Medium Income"
"17","shelby",27986720,431870,25172353,58.2868756801815,348070,24833739,776054.34375,786636.03125,108450,662765,"High Income"
"18","sevier",540618,44230,1888754,42.7030070088175,27590,1861635,310272.5,314792.333333333,6270,23273,"Medium Income"
"19","sequatchie",10060,4670,206912,44.3066381156317,3500,204170,204170,206912,630,2454,"Medium Income"
"20","scott",107562,7950,293786,36.954213836478,6440,290354,48392.3333333333,48964.3333333333,710,2313,"Low Income"
"21","rutherford",2888908,130500,6989267,53.557601532567,90490,6899847,627258.818181818,635387.909090909,27610,112620,"High Income"
"22","robertson",401958,31290,1538709,49.1757430488974,24310,1518453,253075.5,256451.5,6120,23979,"High Income"
"23","roane",180280,22510,1103179,49.0083962683252,13560,1090883,272720.75,275794.75,3490,15309,"High Income"
"24","rhea",148800,14160,632117,44.6410310734463,10030,625939,125187.8,126423.4,1750,6397,"Medium Income"
"25","putnam",422730,33620,1667805,49.6075252825699,22160,1638777,273129.5,277967.5,5230,23181,"High Income"
"26","polk",118664,6870,281125,40.9206695778748,4320,278657,34832.125,35140.625,820,3069,"Medium Income"
"27","pickett",8040,1960,96406,49.1867346938776,1210,94946,47473,48203,230,861,"High Income"
"28","perry",12420,2990,122275,40.8946488294314,1990,121032,60516,61137.5,340,1026,"Medium Income"
"29","overton",106358,7350,298023,40.5473469387755,4680,293790,41970,42574.7142857143,770,2706,"Low Income"
"30","obion",158796,12590,548907,43.5986497220016,8350,540414,90069,91484.5,1470,5765,"Medium Income"
"31","morgan",59770,4970,203177,40.8806841046278,3700,201469,40293.8,40635.4,540,1830,"Medium Income"
"32","moore",2840,1400,77116,55.0828571428571,850,76057,76057,77116,190,824,"High Income"
"33","montgomery",1355712,79730,3711472,46.5505079643798,59180,3659054,457381.75,463934,13260,56591,"Medium Income"
"34","monroe",150360,18220,829652,45.5352360043908,11870,819635,204908.75,207413,2420,10991,"Medium Income"
"35","meigs",19500,4750,227664,47.9292631578947,2920,225053,112526.5,113832,620,2464,"Medium Income"
"36","mcnairy",207810,10970,450995,41.1116681859617,7690,445733,49525.8888888889,50110.5555555556,1300,4240,"Medium Income"
"37","mcminn",253134,20120,888056,44.137972166998,13140,877341,146223.5,148009.333333333,2540,8366,"Medium Income"
"38","maury",396972,32470,1570103,48.355497382199,21490,1549584,258264,261683.833333333,4820,18977,"Medium Income"
"39","marshall",111360,13790,613171,44.4649021029732,9270,606384,151596,153292.75,1630,6037,"Medium Income"
"40","marion",135420,10990,479319,43.6141037306642,7490,474224,79037.3333333333,79886.5,1410,4966,"Medium Income"
"41","madison",670080,41500,2096863,50.5268192771084,29280,2065586,258198.25,262107.875,7410,31690,"High Income"
"42","macon",32760,7590,290108,38.2223978919631,5850,285823,142911.5,145054,570,1790,"Low Income"
"43","loudon",262550,25970,1558505,60.0117443203697,14960,1539971,307994.2,311701,5710,28443,"Very High Income"
"44","lincoln",273780,14830,711492,47.9765340525961,9740,701800,77977.7777777778,79054.6666666667,2030,8168,"Medium Income"
"45","lewis",8280,3990,161370,40.4436090225564,2660,158792,158792,161370,410,1482,"Low Income"
"46","lawrence",287360,16990,719849,42.3689817539729,11960,709714,88714.25,89981.125,1970,6644,"Medium Income"
